key,name,pos,team,bye,std,half_ppr,ppr,rush_yds,df_points_allowed_per_game,rush_tds,df_sacks,pass_yds,reception_tds,reception_yds,kick_extra_points,pass_ints,kick_30_39,fumbles,kick_40_49,df_fumbles,df_ints,kick_20_29,kick_0_19,df_tds,receptions,pass_tds,df_safeties,kick_50,two_pts
pineiro_K_CHI,Eddy Pineiro,K,CHI,11,322.0,279.0,296.0,,,,,,,,29.1,,9.0,,6.8,,,7.4,0.3,,,,,3.0,
moore_WR_SEA,David Moore,WR,SEA,6,323.0,337.0,300.0,25.0,,0.1,,,1.4,232.7,,,,0.0,,,,,,,15.1,,,,
burton_TE_IND,Trey Burton,TE,IND,,324.0,338.0,-1.0,0.5,,0.0,,,1.6,188.5,,,,0.0,,,,,,,18.2,,,,
carlson_K_LV,Daniel Carlson,K,LV,6,325.0,292.0,304.0,,,,,,,,36.3,,7.5,,8.4,,,7.0,0.6,,,,,3.4,
dolphins_DST_MIA,Dolphins,DST,MIA,11,326.0,344.0,344.0,,24.7,,32.5,,,,,,,7.8,,7.8,13.4,,,2.1,,,0.3,,
patterson_WR_CHI,Cordarrelle Patterson,WR,CHI,11,327.0,347.0,339.0,101.0,,0.6,,,0.2,63.3,,,,0.0,,,,,,,5.6,,,,
cardinals_DST_ARI,Cardinals,DST,ARI,8,328.0,349.0,297.5,,24.2,,39.4,,,,,,,11.0,,11.0,12.2,,,1.7,,,0.3,,
trautman_TE_NO,Adam Trautman,TE,NO,6,329.0,352.0,355.0,0.6,,0.0,,,0.6,102.4,,,,0.0,,,,,,,10.5,,,,
ozigbo_RB_JAX,Devine Ozigbo,RB,JAX,7,330.0,354.0,249.0,384.6,,2.0,,,0.9,160.7,,,,1.2,,,,,,,19.5,,,,0.1
mckissic_RB_WSH,J.D. McKissic,RB,WSH,8,332.0,355.0,292.5,118.3,,0.4,,,0.8,157.0,,,,0.5,,,,,,,22.4,,,,
gano_K_NYG,Graham Gano,K,NYG,11,333.0,365.0,355.0,,,,,,,,34.0,,6.8,,6.9,,,6.1,0.3,,,,,4.2,
miller_WR_TB,Scott Miller,WR,TB,13,334.0,358.0,288.0,18.1,,0.0,,,2.8,358.9,,,,0.0,,,,,,,27.4,,,,
bass_K_BUF,Tyler Bass,K,BUF,11,336.0,361.0,298.7,,,,,,,,31.6,,7.7,,8.0,,,7.4,0.3,,,,,3.9,
panthers_DST_CAR,Panthers,DST,CAR,13,337.0,370.0,295.5,,25.8,,42.1,,,,,,,10.0,,10.0,12.2,,,2.0,,,0.2,,
montgomery_RB_NO,Ty Montgomery,RB,NO,6,338.0,383.0,377.0,98.8,,0.9,,,0.1,57.0,,,,0.0,,,,,,,7.5,,,,
succop_K_TB,Ryan Succop,K,TB,13,339.0,379.0,271.0,,,,,,,,35.6,,9.4,,7.7,,,6.8,0.4,,,,,4.0,
cephus_WR_DET,Quintez Cephus,WR,DET,5,341.0,378.0,374.0,0.4,,0.0,,,0.6,77.5,,,,,,,,,,,6.4,,,,
hightower_WR_PHI,John Hightower,WR,PHI,,342.0,389.0,-1.0,2.1,,0.0,,,0.1,49.6,,,,,,,,,,,3.1,,,,
abdullah_RB_MIN,Ameer Abdullah,RB,MIN,7,-1.0,-1.0,427.0,51.9,,0.3,,,0.2,73.9,,,,0.1,,,,,,,7.6,,,,
agnew_WR_DET,Jamal Agnew,WR,DET,,-1.0,-1.0,-1.0,12.0,,0.0,,,1.0,127.0,,,,,,,,,,,10.0,,,,
akins_TE_HOU,Jordan Akins,TE,HOU,,-1.0,-1.0,-1.0,0.4,,0.0,,,1.5,318.5,,0.0,,0.0,,,,,,,28.4,,,,
aliecox_TE_IND,Mo Alie-Cox,TE,IND,,-1.0,-1.0,-1.0,0.6,,0.0,,,1.5,181.2,,0.0,,0.0,,,,,,,13.4,,,,
allen_QB_WSH,Kyle Allen,QB,WSH,8,-1.0,369.0,362.0,5.2,,0.1,,210.0,,,,1.0,,0.1,,,,,,,,0.8,,,0.5
