key,name,pos,team,bye,std,half_ppr,ppr,reception_yds,kick_40_49,pass_ints,pass_tds,kick_0_19,df_points_allowed_per_game,rush_tds,df_safeties,kick_30_39,pass_yds,df_fumbles,df_tds,df_sacks,df_ints,kick_extra_points,receptions,reception_tds,rush_yds,kick_20_29,two_pts,fumbles,kick_50
thielen_WR_CAR,Adam Thielen,WR,CAR,11.0,159,159,159,692.3,,,,,,0.0,,,,,,,,,70.0,4.7,4.0,,,0.5,
cooks_WR_DAL,Brandin Cooks,WR,DAL,7.0,145,146,160,688.0,,,,,,0.0,,,,,,,,,57.0,5.7,25.3,,,0.5,
dolphins_DST_MIA,Dolphins,DST,MIA,6.0,202,185,161,,,,,,22.7,,0.5,,,11.3,3.0,46.7,12.7,,,,,,,11.3,
davis_WR_JAX,Gabe Davis,WR,JAX,12.0,144,161,162,750.7,,,,,,0.0,,,,,,,,,50.3,5.7,1.7,,,1.0,
mclaughlin_RB_DEN,Jaleel McLaughlin,RB,DEN,14.0,150,155,163,151.5,,,,,,2.5,,,,,,,,,24.5,1.5,533.0,,,1.0,
gibson_RB_NE,Antonio Gibson,RB,NE,14.0,149,153,164,327.5,,,,,,2.0,,,,,,,,,43.5,1.5,359.5,,,1.5,
bengals_DST_CIN,Bengals,DST,CIN,12.0,271,259,165,,,,,,23.0,,0.5,,,10.3,3.2,45.9,13.3,,,,,,,10.3,
wright_RB_MIA,Jaylen Wright,RB,MIA,6.0,138,145,166,131.5,,,,,,3.5,,,,,,,,,14.5,1.0,379.0,,,2.0,
dicker_K_LAC,Cameron Dicker,K,LAC,5.0,199,210,167,,8.7,,,0.2,,,,8.6,,,,,,41.0,,,,7.4,,,5.8
legette_WR_CAR,Xavier Legette,WR,CAR,11.0,152,164,168,636.0,,,,,,0.0,,,,,,,,,47.5,3.5,15.0,,,1.0,
mitchell_WR_IND,Adonai Mitchell,WR,IND,14.0,142,162,169,691.5,,,,,,0.0,,,,,,,,,49.0,4.0,9.5,,,2.0,
musgrave_TE_GB,Luke Musgrave,TE,GB,10.0,151,176,170,585.5,,,,,,,,,,,,,,,53.5,4.0,,,,0.0,
