key,name,pos,team,pass_tds,pass_yds,pass_ints,rush_tds,rush_yds,receptions,reception_tds,reception_yds,two_pts,fumbles,kick_0_19,kick_20_29,kick_30_39,kick_40_49,kick_50,kick_extra_points,df_points_allowed_per_game,df_sacks,df_safeties,df_fumbles,df_tds,df_ints
johnson_TE_NYG,Theo Johnson,TE,NYG,,,,,,,,,,,,,,,,,,,,,,
johnson_WR_LAR,Tyler Johnson,WR,LAR,,,,,,,,,,,,,,,,,,,,,,
johnson_WR_BUF,Xavier Johnson,WR,BUF,,,,,,,,,,,,,,,,,,,,,,
jones_RB_WSH,Austin Jones,RB,WSH,,,,,,,,,,,,,,,,,,,,,,
jones_QB_BAL,Emory Jones,QB,BAL,,,,,,,,,,,,,,,,,,,,,,
jones_WR_MIN,Jeshaun Jones,WR,MIN,,,,,,,,,,,,,,,,,,,,,,
jones_WR_TB,Latreal Jones,WR,TB,,,,,,,,,,,,,,,,,,,,,,
jones_RB_ARI,Tony Jones,RB,ARI,,,,,,,,,,,,,,,,,,,,,,
juszczyk_RB_SF,Kyle Juszczyk,RB,SF,,,,,,,,,,,,,,,,,,,,,,
kalinic_TE_LAR,Nikola Kalinic,TE,LAR,,,,,,,,,,,,,,,,,,,,,,
kampmoyer_TE_DEN,Hunter Kampmoyer,TE,DEN,,,,,,,,,,,,,,,,,,,,,,
keene_TE_HOU,Dalton Keene,TE,HOU,,,,,,,,,,,,,,,,,,,,,,
kelly_RB_BAL,John Kelly,RB,BAL,,,,,,,,,,,,,,,,,,,,,,
