name,pos,pts_ppr_cbs,pts_cbs,pts_nfl,pts_fox,pts_espn
charles_clay,TE,139.0,81.0,82.94,82.9,
jared_cook,TE,130.0,75.0,92.15,51.5,
austin_seferian-jenkins,TE,127.0,74.0,61.0,32.4,
david_njoku,TE,127.0,74.0,56.31,,
eric_ebron,TE,126.0,73.0,103.98,87.8,
benjamin_watson,TE,125.0,73.0,77.8,,
cameron_brate,TE,123.0,73.0,83.47,82.9,
vance_mcdonald,TE,116.0,72.0,74.8,46.3,
vernon_davis,TE,115.0,71.0,68.73,48.7,
ricky_seals-jones,TE,111.0,69.0,98.25,,
tyler_eifert,TE,109.0,67.0,94.02,48.2,
mike_gesicki,TE,104.0,67.0,29.27,,
hayden_hurst,TE,102.0,66.0,48.93,,
austin_hooper,TE,101.0,56.0,57.42,40.2,
garrett_celek,TE,101.0,54.0,32.25,50.8,
oj_howard,TE,101.0,51.0,64.19,,
antonio_gates,TE,89.0,51.0,70.96,71.2,
luke_willson,TE,87.0,50.0,32.64,29.0,
jesse_james,TE,87.0,47.0,26.42,56.1,
dallas_goedert,TE,85.0,46.0,34.67,,
tyler_higbee,TE,80.0,45.0,42.46,21.7,
ryan_griffin,TE,79.0,41.0,63.81,52.8,
jeff_heuerman,TE,73.0,40.0,34.64,7.3,
blake_jarwin,TE,71.0,39.0,53.98,,
virgil_green,TE,70.0,39.0,16.7,48.6,
jonnu_smith,TE,69.0,39.0,26.02,,
jermaine_gresham,TE,68.0,36.0,46.07,43.3,
nick_vannett,TE,67.0,35.0,32.09,4.3,
jordan_akins,TE,63.0,34.0,17.65,,
jake_butt,TE,63.0,33.0,60.3,,
dwayne_allen,TE,60.0,33.0,10.39,58.3,
marqueis_gray,TE,59.0,33.0,12.65,29.8,
rhett_ellison,TE,58.0,30.0,32.52,7.8,
marcedes_lewis,TE,53.0,29.0,18.77,25.7,
tyler_kroft,TE,53.0,28.0,22.69,20.4,
david_morgan,TE,49.0,28.0,10.75,,
ed_dickson,TE,49.0,25.0,0.0,18.4,
josh_hill,TE,47.0,21.0,37.35,28.2,
jordan_leggett,TE,39.0,17.0,11.08,,
chris_herndon,TE,39.0,17.0,17.38,,
darren_fells,TE,31.0,16.0,15.65,37.6,
rico_gathers,TE,30.0,15.0,16.04,,
