key,name,pos,team,bye,std,half_ppr,ppr
everett_TE_SEA,Gerald Everett,TE,SEA,9,183.7,179.8,188.0
gainwell_RB_PHI,Kenneth Gainwell,RB,PHI,14,184.0,178.0,175.6
mack_RB_IND,Marlon Mack,RB,IND,14,185.0,182.3,218.5
myers_K_SEA,Jason Myers,K,SEA,9,209.8,219.8,184.2
davis_WR_BUF,Gabriel Davis,WR,BUF,7,188.7,196.3,187.4
white_RB_NE,James White,RB,NE,14,189.0,168.0,157.6
chiefs_DST_KC,Chiefs,DST,KC,12,212.3,194.5,188.4
gay_K_LAR,Matt Gay,K,LAR,11,214.3,236.3,216.6
brown_WR_DET,Amon-Ra St. Brown,WR,DET,9,194.7,186.0,186.8
williams_RB_CHI,Damien Williams,RB,CHI,10,196.7,195.3,202.6
taylor_RB_NE,J.J. Taylor,RB,NE,14,157.5,201.0,226.5
wilson_QB_NYJ,Zach Wilson,QB,NYJ,6,202.0,195.5,196.8
williams_RB_KC,Darrel Williams,RB,KC,12,202.0,200.5,216.6
cobb_WR_GB,Randall Cobb,WR,GB,13,203.3,181.3,204.6
prater_K_ARI,Matt Prater,K,ARI,12,203.7,212.3,207.0
jones_RB_NO,Tony Jones Jr.,RB,NO,6,204.0,208.7,209.7
firkser_TE_TEN,Anthony Firkser,TE,TEN,13,208.3,221.0,219.2
johnson_RB_NYJ,Ty Johnson,RB,NYJ,6,175.0,203.0,235.7
booker_RB_NYG,Devontae Booker,RB,NYG,10,210.0,191.7,191.3
trautman_TE_NO,Adam Trautman,TE,NO,6,211.0,197.8,200.5
brown_RB_MIA,Malcolm Brown,RB,MIA,14,213.3,209.3,216.3
hyde_RB_JAX,Carlos Hyde,RB,JAX,7,215.0,242.7,247.0
bateman_WR_BAL,Rashod Bateman,WR,BAL,8,186.0,190.0,214.3
evans_RB_TEN,Darrynton Evans,RB,TEN,13,217.3,220.3,241.0
hill_RB_BAL,Justice Hill,RB,BAL,8,188.5,249.0,277.5
bears_DST_CHI,Bears,DST,CHI,10,220.0,240.3,231.0
reagor_WR_PHI,Jalen Reagor,WR,PHI,14,191.0,175.7,183.0
crowder_WR_NYJ,Jamison Crowder,WR,NYJ,6,191.5,186.0,214.0
mcmanus_K_DEN,Brandon McManus,K,DEN,11,222.0,223.3,196.8
jarwin_TE_DAL,Blake Jarwin,TE,DAL,7,223.3,204.7,224.0
valdesscantling_WR_GB,Marquez Valdes-Scantling,WR,GB,13,227.0,229.0,236.8
williams_RB_BAL,Ty'Son Williams,RB,BAL,8,202.0,207.0,180.0
kirk_WR_ARI,Christian Kirk,WR,ARI,12,203.5,195.0,206.3
brown_WR_LV,John Brown,WR,LV,8,205.5,210.0,231.5
